location,vegetation_ground_cover_off_site,vegetation_ground_cover_on_site,rock_substrate,grassedge_cover_on_site,grassedge_cover_off_site,use_level,sum_area_feet_squared,condition_class,access_trails,exposed_soil,distance_to_water,Composite Score,site_issue
Lake Virigina,6-25%,0-5%,0-5%,0-5%,6-25%,,100,Class 3,0,80,1,,Less than 100 feet from trail 
Lake Virigina,0-5%,0-5%,0-5%,0-5%,0-5%,Medium,80,Class 3,0,40,1,,Less than 100 feet from trail 
Lake Virigina,0-5%,0-5%,6-25%,0-5%,0-5%,High,96,Class 2,0,50,1,,Less than 100 feet from trail 
Lake Virigina,6-25%,0-5%,0-5%,0-5%,0-5%,High,40,Class 4,0,75,1,,Less than 100 feet from trail 
Lake Virigina,51-75%,6-25%,0-5%,6-25%,51-75%,Medium,50,Class 3,0,60,2,,"Less than 100 feet from water, In Meadow/ on Soft Vegetation"
Lake Virigina,51-75%,0-5%,0-5%,0-5%,51-75%,High,36,Class 4,0,90,1,,In Meadow/ on Soft Vegetation
Lake Virigina,51-75%,0-5%,0-5%,0-5%,51-75%,High,30,Class 3,0,90,1,,In Meadow/ on Soft Vegetation
Lake Virigina,51-75%,6-25%,6-25%,6-25%,51-75%,High,624,Class 3,0,60,2,,Less than 100 feet from water
Lake Virigina,6-25%,0-5%,0-5%,0-5%,6-25%,Low,100,Class 2,1,70,2,,Less than 100 feet from water
Lake Virigina,0-5%,0-5%,0-5%,0-5%,0-5%,Medium,100,Class 3,0,60,1,,Less than 100 feet from trail 
Lake Virigina,0-5%,0-5%,0-5%,0-5%,0-5%,High,100,Class 4,0,70,1,,Less than 100 feet from trail 
Lake Virigina,0-5%,0-5%,0-5%,0-5%,0-5%,High,600,Class 4,0,90,1,,Less than 100 feet from trail 
Lake Virigina,0-5%,0-5%,0-5%,0-5%,0-5%,High,40,Class 4,0,80,1,,Less than 100 feet from trail 
Lake Virigina,0-5%,0-5%,6-25%,0-5%,0-5%,High,160,Class 3,2,80,1,,Less than 100 feet from trail 
Lake Virigina,0-5%,0-5%,0-5%,0-5%,0-5%,High,80,Class 4,0,80,1,,Less than 100 feet from trail 
Lake Virigina,0-5%,0-5%,0-5%,0-5%,0-5%,Medium,70,Class 4,0,60,1,,Less than 100 feet from trail 
Purple Lake,51-75%,0-5%,0-5%,0-5%,51-75%,High,104,Class 4,0,30,2,,Less than 100 feet from water
Lake Virigina,0-5%,0-5%,6-25%,0-5%,0-5%,Medium,36,Class 2,1,15,1,,Less than 100 feet from trail 
Lake Virigina,6-25%,0-5%,0-5%,0-5%,6-25%,Low,48,Class 1,1,5,3,,Less than 100 feet from water
Purple Lake,6-25%,0-5%,0-5%,0-5%,0-5%,High,112,Class 4,0,75,1,,Less than 100 feet from trail 
