,vegetation_diff,grass_diff,area,condition_class,exposed_soil,dist_water
0,1,1,1,3,80,1
1,0,0,1,3,40,1
2,0,0,1,2,50,1
3,1,0,1,4,75,1
4,2,2,1,3,60,2
5,3,3,1,4,90,1
6,3,3,1,3,90,1
7,2,2,3,3,60,2
8,1,1,1,2,70,2
9,0,0,1,3,60,1
10,0,0,1,4,70,1
11,0,0,3,4,90,1
12,0,0,1,4,80,1
13,0,0,1,3,80,1
14,0,0,1,4,80,1
15,0,0,1,4,60,1
16,3,3,1,4,30,2
17,0,0,1,2,15,1
18,1,1,1,1,5,3
19,1,0,1,4,75,1
20,1,1,1,4,90,2
21,2,2,1,3,70,2
22,0,0,1,3,10,2
23,0,0,1,2,60,1
24,0,0,1,1,5,3
25,3,3,1,4,90,3
26,1,1,1,3,15,3
27,1,1,1,3,95,3
28,3,3,1,4,95,1
29,3,2,4,4,75,2
30,1,1,4,3,25,4
31,1,1,1,3,100,4
32,2,1,1,4,65,1
33,4,4,1,4,80,4
34,2,1,3,4,50,4
35,1,1,1,4,95,4
36,1,1,1,4,100,2
37,2,1,2,2,40,2
38,-2,-2,1,1,0,4
39,0,0,1,1,10,4
40,2,2,1,3,70,1
41,4,4,1,4,95,4
42,1,1,1,3,95,2
43,2,2,1,4,30,1
44,2,2,1,2,15,1
45,1,1,1,3,75,2
46,1,1,1,4,90,2
47,2,2,1,3,90,2
48,3,3,1,3,20,4
49,2,2,1,2,20,2
50,-1,-1,1,1,5,4
51,2,1,1,2,45,4
52,2,2,1,2,30,4
53,2,2,1,3,100,4
54,2,2,2,3,60,3
55,0,0,1,3,40,2
56,4,3,1,3,35,4
57,4,3,1,4,35,4
58,-1,-1,1,1,15,4
59,0,0,1,4,90,2
60,0,0,1,2,70,3
61,0,0,1,3,90,3
62,0,0,1,2,3,4
63,0,0,1,4,100,3
64,1,1,1,4,70,3
65,2,2,1,4,45,4
66,0,0,1,4,90,3
67,0,0,1,4,90,4
68,2,2,1,2,20,4
69,1,1,1,3,80,2
70,0,0,1,4,90,4
71,0,0,1,1,10,4
72,2,2,3,3,30,3
73,1,1,1,4,70,2
74,2,2,1,4,75,1
75,3,2,1,4,45,4
76,1,1,1,4,100,2
